id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2024-1013087;25/04/2024;1;Vente;185000;909;;AV DE LA VICTOIRE DU 8 5 1945;7135;83000;83137;Toulon;83;;;83137000AO0364;;;107;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;51;0;;;;;;5.937502;43.131161
2024-1013089;26/04/2024;1;Vente;95000;97;;RUE DU JEU DE PAUME;3975;83200;83137;Toulon;83;;;83137000CX0606;;;9;;;;;;;;;;1;2;Appartement;62;3;;;;;;5.914102;43.128965
2024-1013090;26/04/2024;1;Vente;32000;88;;AV GEORGES CLEMENCEAU;3345;83000;83137;Toulon;83;;;83137000CK0143;;;20;;;;;;;;;;1;3;Dépendance;;0;;;;;;5.936874;43.123401
2024-1013092;14/05/2024;1;Vente;180000;128;;AV DE LA REPUBLIQUE;6175;83000;83137;Toulon;83;;;83137000CN0631;;;43;44.75;;;;;;;;;1;3;Dépendance;;0;;;;;;5.93044;43.120997
2024-1013092;14/05/2024;1;Vente;180000;128;;AV DE LA REPUBLIQUE;6175;83000;83137;Toulon;83;;;83137000CN0631;;;43;44.75;;;;;;;;;1;2;Appartement;45;2;;;;;;5.93044;43.120997
2024-1013096;07/05/2024;1;Vente en l'état futur d'achèvement;255000;;;;;;83137;Toulon;83;;;83137000CK0110;;;74;;;;;;;;;;1;;;;;;;;;;5.935744;43.125142
2024-1013096;07/05/2024;1;Vente en l'état futur d'achèvement;255000;;;;;;83137;Toulon;83;;;83137000CK0110;;;45;;;;;;;;;;1;;;;;;;;;;5.935744;43.125142
2024-1013099;15/05/2024;1;Vente;15000;1621;;AV JOSEPH GASQUET;4030;83100;83137;Toulon;83;;;83137000BD0046;;;311;;;;;;;;;;1;3;Dépendance;;0;;;;;;5.972765;43.12319
2024-1013102;06/05/2024;1;Vente;260000;919;;COR MARIUS ESCARTEFIGUE;4905;83200;83137;Toulon;83;;;83137000EY0201;;;26;88.23;;;;;;;;;1;2;Appartement;86;4;;;;;;5.94289;43.137812
2024-1013102;06/05/2024;1;Vente;260000;919;;COR MARIUS ESCARTEFIGUE;4905;83200;83137;Toulon;83;;;83137000EY0201;;;26;88.23;;;;;;;;;1;3;Dépendance;;0;;;;;;5.94289;43.137812
2024-1013102;06/05/2024;1;Vente;260000;919;;COR MARIUS ESCARTEFIGUE;4905;83200;83137;Toulon;83;;;83137000EY0201;;;26;88.23;;;;;;;;;1;3;Dépendance;;0;;;;;;5.94289;43.137812
2024-1013107;07/05/2024;1;Vente;178000;145;;RUE NUNGESSER;5425;83000;83137;Toulon;83;;;83137000BS0309;;;14;40.67;7;;;;;;;;2;2;Appartement;40;2;;;;;;5.950526;43.111255
2024-1013107;07/05/2024;1;Vente;178000;145;;RUE NUNGESSER;5425;83000;83137;Toulon;83;;;83137000BS0309;;;14;40.67;7;;;;;;;;2;3;Dépendance;;0;;;;;;5.950526;43.111255
2024-1013107;07/05/2024;1;Vente;178000;145;;RUE NUNGESSER;5425;83000;83137;Toulon;83;;;83137000BS0309;;;14;40.67;7;;;;;;;;2;3;Dépendance;;0;;;;;;5.950526;43.111255
2024-1013109;06/05/2024;1;Vente;213050;9001;;RUE VICTOR THOURON;7190;83000;83137;Toulon;83;;;83137000BI0696;;;78;48.48;;;;;;;;;1;2;Appartement;48;2;;;;;;5.97128;43.113495
